"Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure"
77310,4160,7552,3420,49020,2021,21816,6102,30760,24768,5000
30300,0,0,10000,43524,62,10920,8094,0,13836,3000
0,960,4140,550,45888,6090,882,0,0,3744,12000
31975,2600,10860,3700,70650,15036,33012,5208,16750,19452,4000
9700,2080,4344,1425,22260,186,3138,900,500,9300,0
32540,3540,32580,16498,70632,27100,12048,4500,1400,30450,10000
32395,0,0,2215,53580,672,28704,3384,600,22536,3000
26220,2180,10360,7430,56280,100426,37950,8598,880,26250,11000
59280,960,0,8435,79032,7726,22086,2550,23310,34230,47000
70500,900,0,11646,65496,1167,24402,2250,900,17316,2500
4800,1520,9412,6230,52182,1131,4974,1800,0,11148,21500
34720,2246,1870,9909,33558,369,20064,1200,2100,21498,0
38040,340,9225,3460,24138,1968,8064,1800,0,5226,10850
11555,170,2120,2040,17400,1200,4440,600,990,4956,1000
87840,0,0,17840,51900,2640,50454,21420,14640,43860,8000
55440,2015,4320,3515,41844,36750,14418,4398,0,17358,16500
3290,2280,8680,710,18660,250,11520,600,1690,3252,500
36680,0,1040,5180,23100,1068,34416,4512,0,18192,0
22780,96,0,4240,53388,2400,18864,8988,0,19950,5000
46640,0,2172,2790,30768,840,17232,2946,3550,16362,9000
59340,0,0,46280,103650,9430,52128,6600,2080,31134,255000
106270,480,0,25030,86778,8040,22212,6000,129310,55458,21500
6630,510,14480,600,37260,0,6096,1116,0,1542,0
81080,0,7240,3930,42060,11105,27534,9000,0,37140,17700
62920,0,0,7115,65238,6375,26442,33300,88650,37170,150000
32947,282,780,6000,38364,370,20226,3990,16900,21768,0
9970,0,1080,2430,17568,530,9564,1680,13140,6354,6500
3100,84,0,1590,28476,40720,1440,798,0,4488,500
43120,0,0,9505,46038,22280,32592,12696,0,31956,11900
55405,510,1820,6260,52398,10190,23400,3000,1460,26664,9500
2340,240,4344,100,56526,117,3696,864,0,2526,0
5090,0,0,829,38370,455,7560,2400,1100,15312,2000
5200,240,0,1370,37572,176,3282,3756,0,5748,0
8008,480,7240,1480,27504,4155,8928,1068,0,6564,900
1500,0,0,1960,43722,5440,11040,888,0,4782,0
48460,0,0,16670,43854,790,34266,7068,700,44022,3000
11128,948,1560,5530,21630,1080,12000,7968,0,5916,0
21986,444,5430,25100,24480,1187,16644,11472,29200,35226,13000
35862,0,0,6290,11100,527,10920,1764,0,30918,0
36654,0,0,3045,9900,337,10920,1956,0,29466,0
9568,480,7240,4775,31422,944,53160,7464,2680,20382,16000
7280,240,2860,1530,16680,150,1848,2340,0,3816,0
8150,240,3760,895,13020,704,822,882,0,5310,0
46990,300,6335,5895,30762,450,16560,2880,28190,19470,9500
20550,0,0,4120,22692,1125,6450,1842,25800,6600,2000
3240,480,5249,955,11718,150,1956,498,710,3054,500
10240,0,0,600,11520,265,828,786,150,2976,0
24960,0,0,13945,100722,2230,13818,19320,54730,12306,16000
22330,930,1820,970,39948,196,5190,4038,24500,8346,0
40450,1320,780,3465,49770,132,15186,3060,11145,31614,3000
40270,0,0,4045,34830,534,18612,12498,68200,13098,11600
27850,288,9452,3100,14058,176,13788,2862,2225,7716,900
8370,0,0,1125,45672,1970,2814,1140,900,3888,1500
3700,0,0,3130,45690,33452,2580,1560,0,69732,96800
12570,240,832,1490,11862,150,1278,780,1890,9600,1500
5560,0,0,2810,31230,23838,684,900,0,6264,0
870,0,0,7400,77016,22352,4782,720,0,5994,0
70980,90,362,2920,39564,466,41334,3000,1040,19746,0
24880,1924,3620,6069,45714,21374,5772,1860,0,10440,0
29300,0,0,18200,77730,4800,10794,4200,3500,10650,0
46520,520,724,410,57408,8280,12810,1800,0,17286,0
56160,0,1448,4920,80412,6186,13626,1836,1245,13398,0
45580,0,2715,3560,59838,8126,17352,6762,0,14250,0
11350,0,0,2380,95106,5523,8202,2880,0,10056,0
32700,222,0,8900,41604,5520,21474,1800,0,12810,0
62550,4160,38,12750,54144,5634,11862,4800,400,11634,0
36330,0,0,5690,97260,54520,82860,11202,43000,70464,134300
24790,0,0,2400,54564,1346,45756,2346,2720,21738,0
67410,120,0,2709,71328,117112,33330,11400,17645,26004,0
9300,0,1040,50,26784,15,21318,1200,11000,4584,0
36165,1170,1810,2975,34278,90,38796,3606,2300,16872,0
18860,0,0,3330,87510,650,23772,4800,38300,7758,0
53880,520,5430,4290,31158,335,18216,3048,5100,13020,0
9360,0,0,5280,42660,3337,4668,12000,21540,7182,0
2920,400,5223,1050,26772,466,1392,0,0,1158,0
9600,0,13213,3900,55920,58842,2082,1398,0,4482,10800
0,0,1560,1445,9750,7724,1638,300,0,1626,0
450,100,0,960,10788,255,3504,624,830,2244,0
9020,360,4972,1972,10140,140,14010,4770,1670,4308,0
2585,2680,1918,900,9480,14990,4896,912,2030,4104,0
47580,5080,5450,0,33912,2360,10482,3822,23400,5430,0
5350,4600,11656,1300,20130,53274,2604,2808,0,18120,0
0,0,0,250,7848,21078,600,0,0,378,0
10580,3468,330,6550,90000,3566,5280,28200,700,22458,105000
14830,810,5792,3100,11802,575,7758,246,585,10692,0
2640,1290,4890,1550,18240,90,5040,1770,0,5940,0
17640,3315,5430,2075,17940,278,7998,1680,1400,8460,0
8570,4810,13575,10290,30000,140,10428,5220,770,14142,5000
0,0,5611,825,16860,93,4320,720,0,3120,0
14500,510,0,1070,20610,1234,4320,1608,200,6366,0
0,2510,7421,895,16290,206,4320,1524,0,5160,0
7770,560,6154,1365,20700,148,4320,1740,150,7758,0
2380,3276,7964,1890,20580,142,5040,1836,300,7068,0
0,1810,9412,975,19020,226,4320,1260,0,5274,0
0,1705,3920,795,18750,110,4800,1716,0,5610,0
7140,1810,5792,2465,19590,116,4320,1716,690,8364,0
5780,640,7602,1955,18900,108,4320,1332,830,8850,0
51880,2210,5430,7540,23820,138,11520,3564,3750,25542,0
13020,3315,9050,3215,22920,114,2880,2640,1200,10110,0
2880,810,5792,695,18570,656,2880,1152,0,7236,0
65950,2576,8326,7005,21840,126,10092,3960,900,17364,0
6570,0,0,3240,67290,1036,13074,1680,400,8652,1085
8895,4280,9050,2100,46320,185,10746,1212,100,8562,1000
18670,0,0,2375,54780,945,7488,1902,9645,8088,1397
80900,0,0,3130,74220,147,18402,15672,133609,18096,0
12360,5720,11946,2210,76116,920,14898,6600,0,15714,30500
11100,0,9050,3910,46200,50,6984,3900,0,18180,6500
14680,0,7240,610,17430,30,6072,264,0,4686,600
25530,0,832,1670,13200,155,8250,870,8150,4920,10350
11100,6240,7968,1700,42924,9000,2646,888,1150,9282,14300
63630,6240,7240,8950,47490,0,28044,5910,27740,19224,7000
23130,4160,9412,10074,58680,65,38172,13200,60200,20094,8750
46520,2560,14661,9500,36000,5928,42078,8712,27750,27102,1500
74990,0,9299,29630,43680,1938,30756,10500,4400,28548,1000
37400,480,6335,11450,144180,47608,14400,16572,2000,42924,10000
73650,820,0,6710,108684,119,28998,25146,78500,29220,5000
15250,160,3258,3600,45222,1901,1200,2772,2865,11988,3000
61950,480,0,4348,41028,3041,25524,5076,17150,32922,0
31438,2080,1629,9865,56016,1235,31092,10062,1370,22104,3500
11040,2720,6878,4800,21000,166,18720,3096,1620,7044,3000
38040,0,0,18780,50664,9080,27264,28068,29710,39528,20000
500,0,120,4610,75000,31268,2298,900,0,6996,0
67440,0,1742,5518,24252,16099,30618,5226,1030,15948,6500
16000,0,0,2580,28500,220,3468,2160,0,6210,0
31280,0,6335,25900,94200,175,27750,30204,32200,18492,110000
43300,80,724,4670,89580,1417,41016,2328,16850,14322,5000
61230,125,3620,16869,62880,5531,34734,10554,19550,47964,0
39350,0,0,24200,135540,6405,69132,12318,148430,26736,5000
34495,580,0,2130,37740,24174,8454,2772,13545,8952,12500
500,0,0,1270,17064,716,2136,1038,0,4668,0
30280,3200,11765,4545,10740,250,8022,4500,1440,9756,5000
9350,0,0,3050,71142,38555,2556,2214,3150,11454,0
8680,0,0,1045,18510,30173,4908,1302,100,7344,0
17196,0,0,1660,25704,672,4992,2100,1280,12300,0
48280,1480,10860,4540,34380,1412,12888,2598,1170,13062,0
35170,2080,6335,4970,29760,310,8640,1176,100,11556,20000
6955,0,3276,675,13200,5428,1152,2448,1150,5844,0
28880,480,0,3805,40278,2700,8310,9246,1000,10032,0
47220,320,8145,11705,17448,4805,26454,4560,2000,17226,93500
20925,2188,12420,6700,20700,235,22422,2916,750,6408,1500
10970,210,4660,7080,17400,170,9024,3264,2550,5220,1600
4820,2080,5430,4570,54342,1160,2280,2094,0,11646,13000
4370,2120,1040,6855,27096,255,4518,2358,1470,7680,3200
26125,0,1221,9765,15360,130,11544,3654,3100,9036,3700
65645,0,0,14245,25098,23072,15462,2622,28975,24558,2500
18050,0,0,5530,13200,160,4380,1764,0,3354,700
6965,4108,4400,6500,24360,80,7134,756,1980,4278,1500
17660,4370,6470,4520,22500,110,6912,4530,660,5658,1200
2380,0,0,3500,14058,175,12360,1320,250,7056,0
0,1300,14480,2500,27084,120,8160,1200,0,4680,0
0,0,0,9760,40548,54979,12840,3474,0,14046,0
3970,0,0,12280,37134,13730,4842,8160,800,8406,0
22404,1300,7240,9500,13548,390,13182,4800,0,8640,0
15600,1300,7240,11980,17940,3965,12720,5400,0,12930,0
4370,1300,7240,8690,15780,230,6702,9000,652,10878,0
28320,1300,7240,15450,15180,22000,33720,5700,440,20502,0
7800,300,7240,4250,17844,110,11400,2160,0,6564,10000
7690,0,0,3920,24840,5570,16422,1800,500,8586,0
21054,300,3620,6050,11010,180,9120,2700,400,6912,0
15090,0,0,8080,22230,2042,12786,4500,10875,11622,0
11800,1300,7240,20600,21036,3110,19200,10800,0,20640,0
31380,520,0,15900,20436,315,23952,2100,1400,27492,0
23840,520,0,11220,24900,365,26586,3900,600,13254,0
23560,120,0,5600,17154,19087,18714,1344,250,50280,16000
13370,1300,7240,13190,17688,30000,26682,7800,1450,13170,0
9040,1300,8145,17610,22710,8740,26640,7020,0,14886,0
46800,1300,7240,11000,16278,35000,19560,6600,0,19872,16800
0,520,7240,2540,9270,110,8880,1200,610,3912,0
0,22,8160,6200,11490,346,5622,5820,0,7320,0
0,0,0,970,22686,6528,9420,1440,0,5220,0
0,0,0,550,9084,160,1920,900,0,3498,0
7170,1612,7600,13900,15048,25370,16182,6000,390,11718,0
47350,1820,8020,45800,22914,1150,68538,14100,8650,42420,0
25950,480,5430,3050,12120,4952,32400,2856,17000,12300,2500
31300,0,0,6692,78432,7740,33684,16140,58260,17136,21050
31192,2080,1358,24173,97710,86562,55068,24144,12500,47544,28700
9180,0,0,3284,21030,19120,4704,1560,0,11160,0
23070,252,1456,2026,19302,642,9264,312,420,12864,2000
0,0,4874,2298,30432,138,1500,0,0,3426,0
43400,0,0,7339,75192,2390,22440,19410,25800,19872,0
28400,0,14842,7107,69186,14741,55632,3324,1085,19212,90000
32918,0,0,4185,84468,426,28602,3108,39000,10716,0
16600,0,0,14631,90150,13254,27372,10200,2890,21030,20000
13130,1950,0,10723,53328,1052,6000,1116,980,46392,3000
9920,0,0,3320,32478,16306,10554,936,80,5610,0
19125,40,1690,22194,67458,5661,10944,2238,1030,20196,0
14220,1300,0,17169,159300,4482,36798,17400,64400,20952,15000
43420,2080,0,26752,56106,5178,40566,23724,38580,29682,3000
11555,960,0,3460,29850,2344,22308,2568,1776,15030,1300
1500,240,0,4788,80514,28882,5238,9372,0,17106,0
18590,0,0,21550,81174,200,21048,10542,400,33258,3000
32350,3600,0,3095,55992,3932,16554,5676,31575,13800,15000
68350,0,0,4510,53790,1574,16296,1428,6080,11652,0
13980,1280,6720,1869,72564,66608,20796,1302,0,12486,0
49200,0,0,30030,72000,950,10932,8748,0,20646,83000
9600,0,5732,10720,51846,2050,3138,3798,0,8646,0
64000,1040,2080,16850,97320,26540,33096,18540,44050,28344,2000
153620,0,0,10005,71280,3561,29994,13626,33630,39288,10000
139075,2080,0,12577,106350,11148,75660,23400,208500,46524,6000
5340,0,0,2050,47070,30960,3000,1038,1220,7392,0
70370,0,0,5670,40590,310,13920,2760,18155,14796,0
22260,480,0,5220,58410,52408,6852,13272,21460,15948,0
36300,0,0,8300,62100,8940,14934,9408,22400,13962,10000
14900,2900,0,4230,19338,5062,7080,3012,7325,6630,2000
28360,3004,14480,4450,62670,2985,15378,2028,3230,10860,0
31440,7560,5611,4375,49080,160,13866,12840,22850,19986,0
1560,0,0,0,26718,17177,0,924,0,1764,0
26075,720,1040,1200,21168,700,4848,960,350,6198,0
10610,5226,16290,1160,33150,5424,20610,1356,3425,9204,0
13800,0,0,0,65688,65000,72,0,0,1320,23000
25850,125,0,2190,42240,1200,25764,1980,32600,22902,3000
2860,1202,0,1120,28800,130,7938,1500,0,5736,0
34700,0,0,800,26658,211000,1572,1512,0,2388,0
27813,3120,0,3600,41130,736,51396,1662,60750,11052,0
8405,3198,11765,540,13410,349,2796,1374,100,6930,2000
52,0,0,1050,22470,26032,3456,0,0,1374,0
47000,3042,3801,2024,22200,9694,13038,1722,500,13380,0
38330,0,0,1920,45930,84,8988,1380,63800,5226,8500
4760,2440,0,840,20550,690,5478,612,1260,7416,0
1190,1200,1560,2150,17100,84,2460,660,2000,4746,0
3900,0,0,1250,103260,15928,5202,2262,0,6258,0
18990,0,1448,1200,30000,42,4320,1902,440,16302,0
67500,0,5430,4400,79032,0,116136,21534,18100,43266,0
360,240,60,1050,34200,181,288,0,0,3168,0
23845,0,1629,2200,29196,27,23952,4800,1650,14850,0
50440,0,0,5820,90480,17100,16170,5100,7500,34104,16200
37250,0,0,3450,76914,36,25590,6294,8200,24894,0
21840,0,1448,2980,51276,818,10710,2160,0,20118,5500
26120,0,3547,4950,73200,1920,6168,6102,1050,24870,0
50690,2320,5590,7080,88026,648,17664,13260,850,64260,6000
21320,0,780,0,55740,10988,11898,2460,0,22470,0
23070,0,1040,0,60660,30,5790,3798,660,33696,0
11560,0,2715,600,39480,30,3204,2964,1500,12996,0
15137,2080,14480,3265,41460,1976,15672,3102,1560,14802,5000
51880,240,4530,450,83100,66,10164,7602,1015,33936,12500
19030,0,6470,700,50868,0,5928,3498,560,15054,0
14118,0,4887,750,74436,30,32286,11310,0,19458,0
0,0,0,850,25488,3067,1314,0,0,2376,0
20330,0,2600,0,41400,102,30102,8658,18300,19614,0
0,0,0,650,21018,110,4506,924,0,3792,0
81810,0,0,12550,27270,5472,89514,7602,0,34146,0
19240,888,0,2620,40740,2150,16134,9000,1200,18306,0
19570,0,0,2950,16536,650,8076,1122,2040,13188,3000
37880,0,0,4930,14538,405,13638,1200,0,7806,0
40149,960,1086,8930,25560,550,10188,1980,3850,10602,7000
47710,420,8840,15395,47394,10540,20106,2400,1080,22332,6200
45980,0,3920,11670,35490,3040,17532,9876,5700,20562,10500
46440,222,0,2060,28800,2024,49314,4542,0,25128,4000
22104,1470,0,4990,92622,9842,18792,3900,0,25278,4000
22780,0,0,3010,38520,1803,11052,5568,30150,28938,500
16520,0,0,1350,32160,3468,3108,2202,2760,16146,2000
20240,0,0,6755,100320,47856,12714,3102,15195,15852,16500
17680,0,1448,2150,30540,570,10548,1560,1450,15120,3500
4040,0,0,1800,34740,6812,3216,894,0,2496,9000
13400,1080,0,5210,45504,8082,16062,13974,0,48258,43980
23920,0,0,3450,52248,17347,21024,11364,0,22728,11000
25260,270,0,2200,24990,16178,7530,3270,0,10950,8500
56610,3380,4394,6370,25590,4084,25410,4590,1270,23316,21000
10810,0,4680,3950,34290,805,2760,2520,1970,7344,7300
13440,1440,0,6030,36594,872,2784,9624,3260,13146,8500
6320,855,0,630,16200,264,1212,576,1720,4368,2500
29052,1500,4004,4185,47166,436,25902,11604,2500,14298,12400
5520,0,0,1550,24624,185360,10128,0,0,3444,20000
16650,0,0,4830,32352,14098,3456,3240,11300,23952,2500
10060,2325,3692,2120,19650,589,2928,1632,1240,7584,3200
27840,855,2860,2470,25002,11640,2700,2160,13360,6276,1300
25360,1065,2600,4125,31878,30080,5406,1368,20200,15666,6500
11080,0,0,1230,18300,30225,4992,2130,3060,9348,0
112060,1684,0,5150,31998,5878,83784,4680,1090,33366,31000
61540,0,0,7420,35370,6690,11280,6720,22800,21066,8000
60660,1020,910,7060,38424,369,60282,5040,120900,31284,13500
10290,720,1040,690,35250,10480,4158,4620,850,8286,11000
33350,1572,4030,560,18000,115,15612,3534,18050,8244,2000
20570,3500,2210,3860,87900,41940,36276,25002,0,107532,41100
33520,0,0,5300,51660,170,25134,17190,14950,32154,25000
55185,1080,0,2060,23316,240,11820,4398,12060,14280,300
4400,3276,0,400,47100,126,13938,3012,0,9984,400
29904,22625,0,8770,279990,1621,38640,13692,24825,25794,33000
1300,5200,0,700,38220,675,444,912,0,4536,5000
20400,3440,2808,7035,25188,26621,9258,2316,800,21810,18500
7250,3430,0,2890,47004,71520,12990,2394,0,9318,5500
21660,0,3620,4120,22992,48159,54564,3432,100,30216,0
40250,1800,0,2035,20100,215,15048,1950,26800,9840,1500
15650,228,1086,960,33990,6615,30234,3432,2550,13974,0
17340,0,0,3999,32688,33050,10038,16044,13230,34698,38000
39072,400,0,810,34590,130,23388,4212,29950,6492,7500
25485,2080,0,1640,22950,270,5076,3498,1200,13002,5000
88190,444,4290,2100,26778,100,23814,4836,32420,13242,0
42730,0,7280,6965,13392,80,21246,4524,27370,13596,0
30625,0,0,3250,37554,342,23760,3120,18850,16980,1000
16070,600,0,5470,68862,1379,11958,4572,5780,26520,1000
6805,2780,1040,12015,50880,1668,4602,6720,1860,22164,5000
780,0,0,1680,49920,6615,3198,984,0,2502,0
36650,0,1920,5460,49446,8430,33912,7800,10100,35868,6000
12765,430,5305,4320,60798,7972,6420,12894,2720,12576,27500
59160,1310,3870,9245,73770,19530,124800,8802,0,48510,14000
23565,2400,960,9570,42120,1430,22944,10500,1860,33030,10000
53460,1884,1950,2805,63300,2670,53820,4068,27500,20526,2000
30080,0,2080,3000,37056,1550,54978,6798,0,14610,5000
52885,538,9632,3470,33078,8970,67800,3540,8960,21000,0
58550,0,0,3200,62898,348,70938,4920,50950,26718,2000
21385,0,0,3140,27540,30,23568,3882,21650,15030,5000
83910,0,3620,5350,64638,2715,26316,6000,1290,43338,23000
16840,1140,5950,11214,57342,13000,13476,3360,4600,18726,52000
58600,0,9050,2110,38700,50,47358,6558,0,33672,8100
91300,0,0,4000,19746,0,26352,2400,59600,12168,2000
14790,0,3620,3240,32880,5800,7242,2400,2000,7068,2000
2340,2080,1820,0,30288,0,3840,1200,0,4044,1000
17300,0,0,6450,37146,1260,6360,14220,0,12954,3000
35960,0,0,1750,27720,700,41370,3240,16550,16722,51500
5820,0,0,950,26520,236,1188,912,2680,8568,2000
32725,0,0,6110,74898,15982,14202,12804,40700,8988,13000
3800,0,2715,1140,32910,21892,3648,1584,0,4038,4000
50440,480,572,1950,17556,300,30882,2400,2690,13698,2500
0,0,0,1850,65652,1925,3198,2100,0,1206,1500
10140,0,0,1570,19122,0,2286,1824,0,7422,1500
3900,0,543,810,21240,2858,2400,1170,0,2208,0
12970,480,4298,750,16470,95,11952,792,16430,5874,1500
4220,0,0,3290,35340,70,4224,2502,0,7404,3700
27010,0,3620,1250,57330,100543,4530,2400,1980,16368,6000
56310,0,0,6365,37854,90478,19920,1920,4380,16074,3000
71205,0,0,9690,86820,0,90252,17094,71880,34542,10000
23000,0,2172,1530,23328,2139,15534,1914,0,20016,0
16630,0,0,1490,21342,66,6450,1644,1000,12996,0
9664,180,3160,3082,17388,4200,2580,1350,3790,5862,10000
69834,0,0,6590,34332,1730,16014,6000,36205,20730,0
38350,170,3969,2100,15696,839,12198,1746,1970,5394,8000
39780,0,2340,8015,29400,555,9528,3762,24165,15360,0
31180,0,900,6550,39600,5556,13626,1800,3830,20904,0
44540,1040,1940,7255,24012,5810,10554,1836,0,13788,6000
62820,0,0,8535,36066,43740,23028,5052,4040,43938,17000
54430,240,312,2700,38892,8170,34578,3360,220,35670,6000
11450,0,0,4080,25878,2630,10986,2034,2295,11232,8000
38020,0,0,3410,26238,2486,24150,3492,4690,25632,4000
104960,0,0,13490,118194,86390,129330,57000,107000,89790,17000
27860,480,1629,4830,36318,575,12216,2946,1510,20082,0
21830,0,0,4330,55980,1235,2364,3180,1100,18534,14150
12490,0,0,4390,53562,4860,6744,3798,2690,14586,5000
2800,0,0,5850,13800,1991,2304,10440,0,14148,0
480,3200,4490,1501,34368,16950,2244,2412,0,11736,15000
29985,0,0,12410,28440,1600,13434,2124,2100,30852,10000
8350,0,0,2600,19662,0,2064,1140,300,10530,0
8955,80,1560,1330,9000,55,1362,2364,900,3024,1000
12360,0,0,2249,22464,0,2424,2322,31250,6654,600
0,1170,1820,700,15900,0,138,0,0,2178,0
4500,0,1560,2360,9270,0,2142,1314,2190,8178,0
4780,996,0,440,7020,138,2364,780,750,7560,0
7160,0,2970,2260,8214,3600,2904,1200,735,5688,0
28860,0,2340,5990,12624,5600,1410,1380,34095,7884,0
7808,0,0,2359,9246,80,2328,3300,1520,15306,0
17278,0,910,800,7800,30115,17310,2124,14524,12270,0
16350,984,4525,4480,34590,6900,13842,3420,29630,5916,9000
4200,1280,2275,370,8100,74,942,0,0,1788,0
15680,510,455,2440,12894,380,5658,1200,685,7200,2450
5600,0,8285,2640,21306,266,750,840,18000,3126,4500
27230,0,0,9450,39732,580,22200,2562,28700,10962,10000
3450,2320,1820,2270,14940,1550,1344,1560,0,3738,8900
39450,0,5746,5460,24462,292,22500,2100,27710,12288,600
11690,0,0,3370,14460,740,1644,900,1800,29718,12500
4780,0,0,1480,14718,14440,2400,840,20690,2880,600
13620,560,0,3440,21684,0,3000,1620,6300,3852,2400
3420,0,0,300,33516,8150,900,480,0,2274,14500
1700,0,2600,1700,15000,80,1572,720,0,1782,1500
10670,720,4680,4350,17688,1530,2580,2280,2230,5268,5500
10060,0,7125,2710,15000,220,1680,1800,1950,3816,1800
16280,1760,0,6900,30300,360,5760,1620,2200,6192,1800
29130,0,0,10020,41970,8190,30978,16500,5800,42342,37000
10500,0,3900,3360,15540,428,4098,1260,1480,3768,2000
19530,0,3640,6110,28752,342,14208,4980,37025,8022,6500
2300,0,2600,830,10740,130,960,0,0,912,11000
18320,0,0,3090,15318,332,7908,1200,1980,6600,7000
10960,2000,0,13799,28800,12944,19356,9726,80840,4818,10000
2700,5200,0,4030,13380,150,402,966,16117,4674,500
100,1520,1810,1340,15318,100,2400,192,0,3558,2500
0,1780,0,6359,19572,2041,1044,294,0,2178,0
50,2640,120,3690,30300,39,720,0,0,1416,1670
100,0,0,698,13896,1540,0,0,0,720,0
0,405,555,450,6906,1380,0,0,0,1032,0
200,3600,0,6350,62202,4770,3060,3654,0,8268,3000
0,0,0,710,4602,1552,972,0,0,978,0
1620,0,0,655,4680,27260,1080,0,0,2322,0
1970,0,0,5375,10920,1817,2376,1056,9600,2580,800
0,0,0,0,10200,1044,0,0,0,648,500
11580,1470,20,24220,15906,748,18528,5118,7000,5292,1667
5740,0,0,7081,29100,160,4758,1620,43410,4548,0
1860,950,0,10418,21900,610,2574,3354,1750,5370,1500
405,4500,6443,5385,18120,0,3204,2298,0,2244,900
6000,540,0,2840,21360,1535,2220,2436,12636,4836,0
3900,0,0,2640,22170,6875,2880,3840,2100,4362,0
0,1240,0,10975,25800,990,3144,3216,0,6570,0
900,264,4040,1750,17700,31980,4896,8700,1769,7068,0
0,504,1326,15109,24192,11640,5100,3396,2500,6954,0
12000,330,0,11585,36432,4080,34842,12600,40340,13398,0
300,264,0,11190,38652,9025,5160,1494,17175,9204,4000
0,850,0,8429,48900,10078,15000,1500,2700,11922,0
0,1440,4186,24485,26100,340,2880,3510,0,3492,500
3200,0,0,100,23562,385,69648,2232,25090,11322,0
0,240,0,440,22878,10930,942,3360,0,1758,0
31820,0,0,13485,117450,236,17496,5520,43670,25320,1570
0,2080,0,3910,133860,10720,16320,14076,6200,15330,1745
5660,150,2082,4317,39450,16755,7560,5340,0,5916,0
3100,0,0,4165,30282,620,2724,840,2490,5850,2066
7235,360,0,2720,53904,9610,13680,14160,48000,17856,0
3250,400,7375,750,31632,0,9072,960,1800,4914,566
1200,876,724,2612,17220,4068,4368,600,1050,3444,4200
19932,0,0,5879,79890,2268,25374,5742,58500,34614,1818
2250,822,14840,2115,38940,312,9456,2400,0,3090,1500
1960,0,0,2250,51636,810,5436,4680,51600,5502,0
8600,0,0,10072,81558,12874,26934,4800,0,23784,10000
40494,1445,14480,0,66822,623,17550,15354,96057,7170,1170
420,340,990,4815,43482,28560,21390,4620,0,17790,468
500,2610,120,3975,31482,0,20592,4050,750,6024,2500
30000,800,0,20601,82956,10654,5016,6300,1690,44682,5500
7000,2000,0,9302,71010,1310,6252,1872,16000,16998,2500
41180,0,0,35310,122340,6000,30498,13800,57260,61980,7500
14160,0,0,7135,40350,7590,13896,6600,42050,17076,5000
3600,288,5249,5950,39930,495,3480,2460,800,5148,2000
26150,915,4065,14120,66570,37682,66000,5820,37200,39216,18000
3500,70,2700,3570,42882,200,5520,564,0,2736,0
22680,240,5430,21040,82020,5480,15768,5400,8120,52212,5000
27800,0,0,35346,95592,455160,16320,2988,35900,15954,6000
32380,2290,0,20120,116520,0,7728,6000,1520,11844,4500
18960,0,0,14370,78696,3150,9234,3792,1190,11142,7000
7320,0,240,6065,39270,30,6552,600,0,2130,500
2900,390,0,6470,25140,950,5880,960,9000,2814,1000
27260,1008,180,52050,152418,13450,54234,28200,43800,36708,10000
4500,0,0,9020,59310,89000,6888,2700,0,4008,4000
14750,120,0,24460,48780,5310,13416,4200,2100,31854,0
1200,0,0,6300,22500,160,11304,1368,840,3120,0
10570,265,2398,7600,38658,190,2880,1140,0,1656,0
22250,250,0,30409,89502,5828,12960,19494,36175,23022,13000
23680,0,0,13590,64260,2575,21960,19794,5460,14994,6500
42174,0,0,10588,44646,0,11784,5412,10190,11190,3500
19280,1610,0,28090,50718,3730,13128,5310,1830,16428,2500
1500,771,0,2970,86262,0,9972,4032,37300,7014,3500
6500,0,0,4100,121236,14695,7230,2460,0,12960,47000
12670,0,0,19848,201222,0,7536,17274,90500,27642,7000
16000,4392,13575,12205,126894,6405,15252,7500,58850,28248,13000
20170,0,0,3500,123216,0,24228,24960,38650,7200,3000
9000,966,3258,13597,117846,0,30000,18234,110000,9936,0
14670,0,0,1250,99120,5040,27900,5040,14300,16716,3000
11600,1200,0,2620,93882,390,8472,2160,1000,8508,4700
6500,2080,0,13600,90768,1180,33780,10860,64995,31944,3000
27400,300,0,11420,149256,50,47322,18732,54196,21972,3000
1500,0,0,0,164958,15600,1440,1500,0,2496,2000
46155,0,3900,20298,180534,65050,35118,20034,64600,26472,8500
3770,650,11765,3199,45450,0,6696,2370,31599,6210,6000
1300,0,0,1150,47760,13650,7848,1380,0,2796,2500
14400,2340,36,2200,45420,37440,34572,13140,60700,20526,6950
3800,0,0,2650,84072,50950,15588,13470,0,16014,5500
8200,3893,0,7120,56286,1640,36876,5040,24510,17982,5175
0,390,0,1700,31680,7200,4182,4200,0,6192,0
21950,429,10771,8350,42918,8000,9708,9594,880,19086,13000
15310,79,342,5344,115944,13740,34080,20994,40350,21876,7500
2600,300,0,120,100710,11588,2124,13794,0,6354,4500
12700,0,0,4900,55074,26700,10008,4200,19500,8256,1000
3500,484,4525,4240,77844,8450,19674,8880,3220,5286,2000
0,0,0,875,17328,315,4458,690,0,3540,800
34100,774,0,935,61110,7284,15324,5400,580,36774,6000
10800,0,0,6227,82194,2350,72108,6810,2150,42516,0
35450,224,3350,5490,60900,0,33144,9534,0,22290,3500
