"Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure"
2590,855,0,3430,13350,2298,1500,540,1080,2838,1000
3600,0,1810,1980,30300,3600,5400,2520,0,5094,0
930,1020,0,1055,13632,0,2400,480,230,4908,800
3420,546,0,2655,11700,1100,3660,870,1500,9078,1500
3355,468,0,4025,14322,257,3594,1800,300,7056,1000
4325,1580,480,2260,11730,1060,2100,660,200,4854,0
11495,0,0,1450,10410,4110,4500,300,0,3294,0
2425,510,260,3330,13008,260,1800,840,0,4548,0
23725,0,0,1660,21900,1729,3000,480,10000,4062,0
2590,240,0,2605,12366,430,1200,660,0,4596,0
3885,240,2263,2265,13512,240,1620,390,220,6750,0
0,0,0,3775,23100,4000,3300,900,0,4482,0
14130,60,0,14972,31242,496,16308,5400,22050,38436,3000
8605,252,0,2025,13500,1400,240,432,630,4548,1500
8605,0,160,1430,10620,150,1440,510,300,5232,1500
0,0,0,400,7200,50,300,0,0,1032,0
0,0,780,1280,8400,100,1140,582,0,3240,1000
8425,0,1560,4015,12924,685,2700,1182,300,4722,1500
1865,1820,780,3770,12990,470,2028,744,300,4008,1500
4120,1586,390,1930,15012,120,420,432,300,5322,1000
1865,0,0,3035,16320,100,3480,936,290,4230,1000
3245,4222,1170,5559,19260,245,6150,1608,260,6870,1200
11890,1140,390,13605,46020,725,55008,3972,4500,5076,2500
1695,4264,780,3706,17034,120,1920,1080,150,3588,1000
5250,1040,5950,1200,13794,100,1320,1080,150,3900,1000
0,504,390,1890,10680,1000,1140,840,0,4416,1000
1695,0,0,2120,9282,0,720,0,360,3030,1500
0,239,0,2920,18126,120,2340,1500,0,4080,1500
12740,0,195,6130,18750,164,7074,2160,9000,6924,2000
0,0,0,560,11250,680,1440,0,0,2220,1000
0,480,0,2350,13194,730,1080,582,0,3690,1000
1130,0,0,2120,25518,776,3660,660,50,4746,1500
9100,240,0,2885,9882,120,4140,312,1410,5304,1000
7380,1500,910,5049,16950,1025,6480,2100,500,31482,0
4450,1920,0,1770,13074,0,1560,600,0,3378,0
10380,720,420,2660,27654,50,4992,1500,7900,7896,0
12900,126,0,1590,31536,1224,5370,1080,9000,7938,0
0,0,0,180,9300,300,360,0,0,672,0
0,0,0,280,13260,150,720,60,0,1512,25000
4120,480,0,2600,12672,60,2880,660,750,4374,1000
4120,216,0,2670,18144,50,6000,1560,600,4476,1000
2260,240,0,1350,12738,0,1800,0,150,3096,1000
8970,1040,0,3460,19008,150,1200,840,950,5772,1000
4120,252,0,2420,14046,220,3780,1380,600,4086,1000
21000,1040,0,4540,27672,380,7920,1560,830,9300,1500
4780,0,0,2525,17862,1568,5520,1020,2100,2934,2500
0,300,0,730,12258,160,1476,540,0,1680,0
4295,1220,0,4330,18480,2500,3900,1758,650,4356,0
1330,1584,760,6255,39198,6075,3900,840,150,4014,6000
2600,881,910,4440,12600,480,4920,1050,0,3810,0
0,1900,910,2045,24264,3600,2700,1380,350,6234,0
0,1505,780,2070,17454,1269,4920,540,100,7674,0
1530,1211,0,1915,22140,11730,2976,360,1650,4554,0
2260,611,780,6205,16890,430,4170,480,150,4872,0
0,0,0,260,9120,900,2760,600,0,2388,0
3390,840,210,2060,16806,344,4152,480,2200,7974,0
0,611,910,1270,14562,9150,4020,780,0,6996,35000
656,0,260,2390,23886,10970,6930,2400,150,5928,0
450,285,345,2195,12000,80,4920,540,150,9522,0
0,135,1046,2570,15900,2254,5268,960,35,4356,0
0,2080,760,2090,16284,50,2760,660,3991,4158,2700
1000,2650,4790,16143,15780,5500,22494,1140,2360,14574,113000
0,1920,240,6970,11376,0,0,390,0,1854,1000
0,0,0,1045,10800,0,1920,0,0,1854,0
0,0,0,2375,12120,50,2280,720,250,3000,0
0,2960,240,2015,12090,0,0,0,300,2100,0
0,1820,0,4560,16050,1930,12540,900,4800,5706,6000
0,650,1040,2115,10746,0,6840,1140,0,2286,0
0,0,0,2590,10086,5244,9540,1170,0,3990,0
0,1980,7298,5375,16668,100,6600,840,0,15480,1500
0,360,0,500,14052,1050,3660,840,150,3888,2000
1000,1300,0,7660,19578,4850,8616,2400,0,47034,2000
0,900,790,5020,12246,450,3360,720,2600,4638,0
0,0,240,600,9240,50,0,0,0,2160,0
0,720,2395,5925,11610,50,5892,840,300,3786,0
2200,1660,0,4635,15492,4168,7098,3240,150,3216,0
0,1660,370,3595,14988,850,6738,540,4000,9300,4000
0,770,240,1410,12186,0,1350,540,5600,2802,1000
0,650,0,1820,9594,0,0,180,0,2352,2000
0,1690,0,1735,12150,1550,2160,840,150,2940,0
33090,540,3982,19720,67740,28910,36960,10920,1400,66348,9000
14515,1478,905,4890,10512,215,10800,1260,1270,8070,1000
11780,1080,7964,7474,30132,175,14994,3840,3650,15822,4300
7200,1606,104,2740,14172,120,8460,1296,15500,5946,1200
36890,1650,0,12901,32508,2800,21420,3360,32350,36408,6500
0,135,5992,7080,10068,360,1680,1008,0,5976,2000
17140,381,192,2445,11040,148,11040,540,700,7572,2000
9700,258,60,4360,12576,460,8640,1380,1800,5394,3700
1600,0,0,4079,33630,21720,3840,780,0,10758,2300
9665,533,3620,4010,11436,470,8880,540,6830,8076,1000
18840,528,7240,7370,9048,120,12540,0,8160,5904,1500
3920,3172,5792,2950,9072,150,2940,750,1450,6354,1500
6310,533,0,7070,9708,230,5460,1500,2500,9480,4500
15460,11166,156,5515,25200,1545,9360,2880,3150,5832,1500
33620,2170,0,8045,25638,2778,19860,3456,13400,9504,1500
0,0,0,1220,7302,130,360,0,0,528,0
13885,291,0,4385,12576,738,15180,1560,370,5838,2000
5520,246,9050,8270,19188,240,17160,1620,410,7860,2500
3355,1286,724,4390,10164,170,1200,450,0,3804,2000
3720,1310,2964,4760,12552,510,1260,0,239,5736,2500
0,240,1170,3310,32382,165,2820,3000,0,6006,800
12690,3660,0,8970,63960,295,4176,3480,15185,5562,6500
0,1170,0,3260,26466,84,1680,2160,0,7902,1000
14515,0,0,3810,15240,163,1560,3240,1400,7722,1500
6675,540,1040,2880,14322,229,780,1800,150,5766,1500
1130,0,0,1480,12498,150,1200,960,100,8328,500
0,270,0,510,8874,158,540,0,0,2982,0
4850,3390,0,2630,21558,47,8436,3000,1300,3738,4000
1800,3705,1690,4770,30078,240,2400,4500,0,15114,3000
1800,2665,9455,3980,22200,110,2460,3060,0,6972,7800
0,0,0,280,26496,83,300,120,0,164574,0
6640,270,0,2970,26448,120,1704,3600,600,9204,1500
0,540,0,950,21480,220,1380,1440,0,3612,1000
17520,1310,0,5755,38310,13712,6840,6120,2600,14688,5000
