"Total.Food.Expenditure","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure"
34183,13265,12370,4165,3789,1550,7190
84796,41328,37265,5880,14401,1850,5250
48761,23706,21720,5372,4470,2045,5605
60154,28986,24737,5745,6042,2270,6640
77020,37953,31072,9610,7850,2107,8875
65344,33839,30770,5570,6510,2585,7085
75244,38031,30770,4915,6205,2545,11260
92403,53707,43140,5100,8690,1600,8900
24028,6685,5330,3845,3782,1470,4158
87336,54739,51437,5200,6131,1965,6145
56417,28589,24737,5045,5040,3035,5990
96122,48305,43460,17440,6295,3310,8220
78178,43792,40273,5620,11264,2390,7735
59311,31461,28810,7748,4020,1880,7369
63163,34858,33148,5201,6722,2315,5760
87892,39221,33069,17979,8024,3000,5320
61535,36632,32978,4625,6266,1810,4450
54527,34989,33191,2355,5659,1610,3275
37688,15836,11907,3290,4994,1670,4567
46384,21483,18068,4121,5696,1600,4325
71267,34728,30354,11750,6885,2460,4630
40210,13403,11513,4692,7159,1805,5950
41911,21278,19551,2550,4998,1335,4250
61587,36026,33070,5393,5222,1625,4745
96729,20545,16495,59736,4680,1215,3285
72496,32508,27639,10510,8454,3180,4080
88944,56838,53378,8648,6986,1850,6060
29889,13778,12470,2270,3879,1505,3905
66330,34399,29507,6094,8433,1780,3075
50381,25623,22098,6514,4395,1250,4075
59989,36646,33057,5436,5085,1405,3300
45212,22013,18775,5485,5936,1700,3645
34475,15428,13187,2570,4318,1475,4470
54271,32675,30354,4924,5571,1225,2775
238375,54552,43034,37468,26288,5235,14180
102403,50783,45505,8572,9966,1930,6345
124068,45179,36200,31429,11648,2035,6075
77440,31109,24737,7981,11928,1710,10420
124651,39455,36428,15230,10672,2810,6825
93994,53586,48570,12498,10314,2430,5060
84962,37950,33100,10920,6972,1860,4300
88115,42705,38436,10495,9939,2180,4900
67950,30654,26648,9762,7872,2000,6185
85771,40503,37294,10518,9300,1735,7150
102806,40014,36100,12320,13399,1725,7140
63149,20297,18012,11514,8922,2470,6610
76516,33706,28676,11244,9712,1490,5706
76259,18411,12667,12556,12469,2100,6140
128061,44683,36200,13007,12554,2850,8080
22189,8458,7692,3244,3563,1570,3480
127832,41231,36821,22642,12484,2245,4979
105256,56504,51287,9622,11936,1765,6465
62503,25313,21947,9438,9289,1950,5958
91993,40709,37107,10487,13253,2080,9730
62989,22468,17876,10034,7310,2220,5180
104484,37031,28115,15218,15065,2950,7812
85763,36525,25501,10420,14350,2630,8375
104389,39550,29767,14965,11260,2335,9613
90846,44319,40611,11732,11846,2455,5803
62063,29370,26257,7857,7588,2620,5740
36052,12646,10794,7230,6467,1895,4820
71774,22772,19039,16734,10010,2230,7165
98443,43119,38164,11357,12832,2810,9550
