"Total.Food.Expenditure","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure"
73634,22309,13194,10846,6328,3035,4130
116828,22001,14355,22898,13789,2570,5160
106868,27901,17680,24512,12526,2580,6600
69208,32366,28600,10150,5023,1405,4318
61901,16530,10611,18664,5929,1410,2530
25835,8512,6432,4920,5013,545,2070
118421,31150,25098,37528,8240,1720,4800
54592,12931,8541,14676,4010,2441,3242
28310,7758,5052,3120,7324,1715,2795
59409,16787,9752,9634,5794,2220,3118
75804,26904,21003,10805,5035,2770,3435
68933,13462,9694,3750,6750,5170,5105
52262,17877,10140,12580,7520,1845,5630
22099,5804,3980,5550,3538,695,2160
119379,36889,29376,21490,12110,3330,6220
73575,23748,19680,12630,12438,2010,5535
136864,30241,20720,34430,24650,3140,13405
94454,21179,14320,29464,12740,1920,4240
93644,52145,49660,12215,6570,1090,5885
46802,17010,13280,6280,8009,1260,3460
107629,46905,33720,11640,13360,2469,7455
46234,13004,9828,15040,8060,1570,2790
114942,25393,19200,19830,15166,3850,14320
28233,11030,9410,4520,3830,1100,3965
81406,31008,24960,18480,6426,2295,4065
59928,8310,6380,3390,26865,485,18710
54693,22606,18976,7280,5556,1280,2415
152713,37752,32000,17390,9700,3450,6875
99200,37795,30678,10048,11661,1110,5402
65733,20748,14040,8654,8645,1285,4205
47622,10876,7560,14734,14358,655,2170
72526,32508,22880,12428,8756,1330,3498
58722,24994,16260,9458,7864,1635,3019
33827,13272,8880,4500,6597,775,2792
57286,16254,10080,9024,11316,2025,7264
77197,42478,37677,10242,5675,1030,3130
22309,8985,7569,3646,3309,605,1367
115096,24704,10800,28936,13020,2680,8979
75386,32925,29933,13961,6674,1545,2742
68848,28438,20800,11058,9865,1240,3597
44933,16359,10304,7435,4143,1560,2668
112369,23571,13497,23050,10586,2665,5160
41874,16836,14056,5060,5920,510,3290
15352,5326,4459,1321,4232,695,1340
34007,14668,11440,4226,4483,705,2297
17049,6280,3834,2120,2710,585,1065
38828,22443,18330,6300,2370,1275,1290
26456,13805,10240,4394,1685,910,1744
114867,44231,28352,18842,12336,1610,5980
58411,22276,18480,9387,5065,1075,5304
44228,13872,9614,9587,6961,1410,3105
110134,33807,17046,21340,19348,2440,2125
47899,6283,2620,18321,4283,2160,3570
128959,61986,57650,27423,6116,1515,4916
20962,8177,6960,2879,2322,465,1360
44682,16889,14160,4230,4738,1035,3099
41916,19444,15854,6239,5831,1125,2540
42687,21722,18080,5300,4228,1130,2400
30329,14944,12420,4276,3101,940,1920
34267,14248,12420,7732,3952,685,2165
12659,5416,4500,1780,1446,265,1180
33719,14557,11550,4040,3556,1020,1930
31928,14368,11550,3924,3971,885,1875
26582,10754,8730,3015,2506,865,1385
21967,8680,6450,3160,3046,770,1420
64277,23489,17748,8414,3516,1065,2205
29998,14047,11550,3864,2596,805,1680
42701,22362,17460,4194,3891,875,2285
43946,21165,17700,3740,3493,1250,2450
105966,30214,27180,7800,47748,1280,4940
29157,13191,10848,3392,2553,1360,1980
127438,29244,18820,23176,13147,1040,5946
51836,27386,25035,4565,4071,1045,4751
80250,30677,28040,14076,7645,1610,8231
55926,15317,13860,9102,6615,2965,3975
55065,16635,16120,2880,2314,810,14080
51003,16321,13080,8326,6800,664,2540
56818,24888,18130,6900,6246,1500,3780
70149,19868,17400,5133,5428,1680,4345
153143,30702,25688,14056,8990,1785,5174
57262,19227,5700,6573,8702,1355,4560
65758,17298,13650,9560,6556,2845,9718
45792,7996,4564,6861,5798,1970,6451
54563,23225,21034,4820,6124,910,6955
52413,11410,9666,12060,8815,1435,3535
59490,22280,19864,8112,6342,1310,4643
46963,23372,20990,2980,7974,740,6496
46379,21864,18796,6260,7839,1850,4108
64153,20734,17528,9625,8720,580,6999
42829,19130,15915,5214,6608,615,2183
16725,6051,5217,4131,2014,615,1019
45409,22725,20670,6690,8381,760,1796
48320,23910,18000,6565,8004,1180,2925
62051,25633,19925,10799,5990,685,3581
38577,18641,16200,2170,3752,425,1810
42968,20157,15060,5850,3567,520,2133
31492,13260,11288,3569,4230,650,4068
75018,18704,15624,3517,4128,1125,2975
62819,23080,18120,10183,10986,885,7673
96825,22842,18750,11684,14872,2785,7964
86766,27434,21710,15461,15950,890,4240
86806,32509,12840,23230,6204,1805,8359
68221,13669,4770,15955,9299,1510,4785
87614,19805,17100,6710,7648,3440,7520
26861,5066,3450,4780,6937,560,3380
76296,29739,25645,6292,9472,700,3659
25980,8088,6968,4116,4358,745,4944
99100,37561,33600,7825,7518,785,5589
24884,10196,9339,5347,2838,275,3390
30325,10164,3310,7390,5156,900,1193
59418,19856,18080,12330,7137,180,3830
70113,33213,21300,7484,9474,1154,3815
55333,31214,20330,4650,5621,430,3280
44514,18700,15860,4740,2472,745,3991
63985,15392,10140,11440,5379,1900,7242
62129,20418,16640,10500,13385,960,2840
112210,29544,21450,30680,24324,2400,5961
96204,23624,19000,27980,7700,1062,3434
47124,12217,10265,9124,7910,1340,4091
31306,8430,4550,4250,3474,2847,1407
78384,15958,8310,17420,14548,2310,5615
141606,40558,24882,38850,16684,2130,7830
90633,20697,14430,13442,11313,1880,8649
72087,35327,30550,6015,6210,1105,5163
73428,21237,16380,17345,6838,1530,7501
74751,22596,15700,18760,7703,1310,5877
57493,21530,19950,3446,7149,1150,2805
69682,21598,19020,7680,5144,1166,9665
71617,34945,27100,5302,8696,1495,7225
94598,29023,20040,9390,5831,1603,9971
85240,19994,18174,13120,18284,1520,6050
70269,23297,21801,9450,5932,1920,3995
15874,3258,2341,4965,2467,314,1697
78149,23104,16069,17538,7186,1710,4978
73831,19668,16009,11963,7232,1620,6670
124055,13037,7572,12579,11791,1550,9752
94754,21791,18096,10742,13197,2270,7082
178356,30111,22560,35958,28787,7493,10574
129004,40421,34480,24670,15116,1670,6031
79309,19341,12870,13470,4602,3805,9805
94610,14556,8580,11114,1577,3030,6195
122698,18900,14430,18508,12395,4145,11000
121108,21418,13190,19926,5572,2215,8147
95463,12841,9360,17220,12025,7792,10487
69222,10461,7440,8201,6568,7245,6662
107978,25274,11520,20476,14455,4623,7280
111066,25143,18330,20325,10606,4060,8283
254517,31037,21580,54759,22268,27610,16407
37099,5793,4320,5821,4470,2500,3868
101751,32068,23434,22713,11709,4780,9830
42695,9890,7938,11400,2622,670,2250
56631,13756,10900,12216,11108,190,6346
61694,22120,15825,16168,10211,50,4078
93123,16845,7860,15588,8184,3385,6845
37331,18224,10612,3150,3745,755,4077
87600,24327,14220,12263,13460,1405,6117
124478,19722,12816,15132,6725,3290,11358
54805,16273,6296,7427,7914,3718,7683
105097,20916,13290,14923,20551,8365,12496
180419,31967,11260,24752,17774,3146,14540
77097,22159,14016,13339,7369,1230,4425
44140,16664,13210,4439,5306,1315,6239
106363,24910,12660,8755,16235,3065,11086
104428,24848,18756,2922,11986,2715,7536
65017,14795,7920,11457,8969,2505,7240
497086,14357,5795,7471,3006,463,3949
67555,14861,10731,13815,7552,1575,6922
78315,15620,9520,15498,7548,2275,4802
81056,29611,18600,6857,8138,1375,5501
69938,17538,8796,15109,10202,2685,6767
186531,22398,17604,47199,28273,4779,11514
104581,22145,10340,23304,14000,4250,6012
103944,18446,10206,15626,18119,1560,9158
111596,28640,20332,34158,14390,3260,7680
157381,29558,14842,13940,9290,7035,12054
127152,22324,10296,32320,12720,11558,10734
141985,44500,19760,28676,17860,8140,11620
218876,29508,9000,67132,18420,14830,18736
53538,11708,9300,8016,2890,980,7234
98552,27230,15528,17160,19436,11510,2086
107636,15343,3623,17160,12135,1500,1920
72306,31156,14336,10880,14700,240,3366
75365,15620,13832,16920,4590,1950,6045
38885,13884,9620,3984,3600,960,1400
140944,16561,9000,15860,10660,4550,6770
60389,15000,11100,9150,8086,1140,2715
45662,8882,5811,11380,3792,810,4800
61025,22760,17550,9621,4738,1790,4233
54329,6998,2210,14696,11060,950,5825
91630,20458,8970,15606,8520,2160,6604
101703,15609,11100,13696,5610,2090,4008
141192,87244,83028,13550,20820,1040,3500
93174,21904,12900,19470,12974,540,9780
66494,16816,6660,11904,6924,900,4540
87552,25788,16080,12236,14844,320,5672
30741,5751,2934,5944,2039,195,1864
17510,9582,7104,1959,811,635,1291
47771,14015,11400,6715,4466,1600,2840
50531,5870,5170,2250,4050,90,2275
60615,19443,18300,13154,7940,1780,2370
72521,8758,7050,13298,8739,1330,4165
145329,45557,33940,32000,17552,5481,5747
87953,22465,18345,13522,14990,2760,6306
98423,24956,17620,8181,12210,1329,9705
78897,12523,7350,14776,14732,2675,7170
130891,26570,16840,50036,12444,3170,8810
236648,22466,15180,44178,20525,1643,18835
112033,20039,13718,24548,15154,9575,14278
185208,32349,15270,13840,19266,16779,7270
159542,19075,11570,17746,11958,8300,9497
92802,16264,11040,11854,5538,4580,12252
51557,9933,6456,9324,3741,2965,6627
189601,20408,15350,62699,32862,3488,14550
51991,6032,1750,960,210,4285,225
111600,40281,25980,10186,9092,4791,8973
110811,32009,22020,8340,6808,2420,7098
107737,18356,11375,11460,10462,4130,5755
100370,25431,10940,23034,6524,1525,3924
169102,37360,27825,16516,18122,7740,13058
194490,32946,24000,11439,10996,5590,9266
34021,12127,10998,7360,5030,520,1575
69163,20919,16389,6100,8004,1215,2265
98925,34939,13544,7132,6841,1398,2575
47379,18149,17395,3610,9808,1135,2295
68895,23301,17889,2630,7916,1555,2278
68405,17791,14661,8996,4492,2155,2000
44330,15228,11992,2095,8936,1090,1300
54111,19497,13182,4777,8514,1395,2515
39517,9725,5877,7682,5641,1375,1665
54066,11895,7860,9020,10345,1048,1070
76300,29883,18462,5311,6942,773,4109
114783,35882,28595,38616,9576,1580,3045
16336,8801,7952,512,728,1500,435
27627,15654,11946,3240,3776,397,670
86862,24444,20734,14796,6910,2090,2070
30418,15617,11740,2760,3110,970,1790
69235,18228,10600,8700,6278,590,1219
151687,24423,18492,29376,22754,4482,10991
119386,38244,30636,19525,18738,5220,5660
60739,30485,25409,2840,2781,1577,1711
68408,27743,23961,5237,2994,1605,6160
91632,24619,15443,15816,6268,4745,5643
131029,28832,17570,12280,15070,9875,13140
77469,19564,11414,2882,9110,1255,3639
121046,35609,20270,10979,9874,2836,4422
110425,30086,22625,9036,11788,1790,5321
145067,28510,20384,34044,23470,1816,11385
104320,33862,24258,16660,15155,3265,5128
130091,24935,14810,23910,13810,12500,7000
123328,25748,13910,12724,9816,2552,2973
76403,6347,3900,5872,8408,1486,3161
52539,14347,9435,7926,4987,1503,3565
110215,25667,20572,17477,7641,6719,24330
158528,21748,14830,10774,20924,11525,8843
290143,45006,24027,44683,30455,29279,13016
129366,30131,23860,18112,9088,3435,7584
70647,24082,13602,7922,10156,1742,3446
68875,17030,9657,4180,5203,1182,1582
42974,15781,12530,5873,5091,1783,1937
156184,32871,12524,15837,11711,11086,7110
68624,25163,12263,14872,8707,405,2312
142584,51629,43354,27262,13574,3565,13935
95055,29102,24797,8995,12608,2770,5914
76729,21297,13213,10743,9828,5872,4073
19477,950,0,408,160,240,0
93839,51536,34872,8148,5476,9915,4830
85107,30289,15023,9350,2987,6375,8275
97741,23317,13610,12777,9154,2910,3404
35553,16245,14650,3295,2532,440,965
79839,13519,9229,6456,22377,4033,1645
64924,16934,9506,11980,12152,1080,3598
96612,33006,23210,6528,7206,2510,3619
124986,28976,19800,22100,11698,1730,23237
29166,12956,7059,3125,3066,2540,2895
68713,24025,21901,8916,10522,3210,3705
98770,35329,30046,22118,10210,2470,3727
45952,17440,14266,7760,7564,1825,3924
71813,16013,10679,8620,15409,380,1395
69318,22336,18643,7280,10860,3551,3915
88592,29810,18824,7700,9606,1187,2460
139926,29934,20130,19920,42150,2860,6670
99225,32911,29051,22068,9322,3445,4360
38120,15329,14752,3960,3962,1000,2611
68760,21856,17638,3330,11782,1785,5300
69993,26698,24978,7590,10126,1510,5690
30318,9682,6426,2410,9716,1515,2573
98083,24169,19667,17570,17650,1505,4965
52620,19180,13575,4260,5155,7040,1298
54229,16649,13694,6508,3212,1365,1885
170607,37920,26064,21870,10680,8900,10557
53391,15110,12208,7216,8536,2510,3589
144127,40978,34624,3506,12354,3138,6752
91005,27106,18172,14786,16236,4005,10515
71054,23965,20817,2485,7780,7555,7060
102385,25964,23104,6570,19096,1560,6235
71593,18690,12586,1503,4806,5224,5700
60553,14545,11428,13378,8966,1577,3854
82168,17284,6678,16178,3830,4475,4153
92587,19654,12650,12770,7076,7260,3340
26804,9848,7518,1552,3578,1950,2590
195625,38482,21640,46762,17874,7480,7100
116749,35389,27588,13536,22546,1342,4415
86509,19448,17232,17576,18190,1780,3695
75835,8928,7618,11568,1907,790,1125
87677,33154,22872,13932,4308,3243,4845
81898,29071,22352,14908,12488,573,2150
94599,33836,17713,9264,11388,1663,6588
92264,22856,10960,4390,10830,8144,9461
83847,19764,13074,7412,9936,820,557
134282,25301,12469,17259,22622,5444,4117
43063,19443,16283,4700,7488,520,977
40421,13418,9094,7685,6219,1305,2147
17994,6303,5246,1950,3934,615,1315
82695,29530,21740,15742,11132,2141,3110
32847,9922,6120,3080,6786,2495,1944
31996,16921,14242,2742,3281,2163,1940
70200,17660,11390,24660,5744,1395,1625
53783,29987,28208,2105,2943,3257,1715
41274,20408,16542,3242,7776,1475,2315
49430,18710,13858,5160,4858,1181,1745
56295,22145,16668,12980,8914,1905,1725
54772,22871,20155,7306,4998,3150,3554
64370,28472,24874,10823,5490,1710,3826
103373,35432,32716,7696,14296,2475,3550
57996,24570,20912,7798,7759,1784,2875
33662,18516,17163,1074,4936,1395,1818
80013,28174,25078,5754,22061,3340,3185
104473,57596,52766,9392,7644,4090,4715
53399,23948,22394,1380,4768,1754,1737
35320,17140,16109,3172,4926,695,3022
31052,12695,12010,4965,3614,1115,1350
23588,9160,8318,2240,3260,1890,1535
18940,7701,6811,1815,3794,460,1230
46737,19020,16690,7221,4766,2085,1900
68532,17606,8931,7260,17171,1353,2295
75409,19477,14617,11558,10496,1285,4375
34079,13091,11629,760,4054,838,811
68137,14144,10842,4156,11118,1929,4998
41688,14259,12346,2410,14001,920,1348
53409,21671,17108,6004,14888,950,2180
39000,15198,10629,1230,16600,939,763
99550,33402,28514,14862,16476,4187,2997
57461,18520,17252,2250,16360,2040,2750
64850,27396,25666,1720,6574,5650,5515
91167,29529,16141,4870,20026,3155,3165
114901,42576,24947,10976,15891,8290,5484
73564,19985,11274,6504,7354,4020,6000
145535,40932,20177,35705,12200,7225,4913
84480,37902,35094,7030,12686,4830,5888
131038,38050,29322,16128,25882,2985,10790
52302,16935,8417,10319,7806,1432,1705
57958,23737,20152,8160,5822,1220,5058
40104,12427,10408,5291,4404,1300,3783
37104,13295,11720,4150,5380,695,5016
55942,12579,8297,11371,9650,3025,5113
57149,23416,17724,7722,11764,2138,3515
123023,47092,38290,15844,11249,6530,4869
52804,17572,11251,2625,3843,2430,2423
140821,25189,19065,33625,21422,1165,2082
128444,35539,29792,9298,31610,5386,5070
59770,22046,17526,10188,9100,3095,2637
89109,26360,22654,17940,12996,5139,6651
146229,39889,33390,14600,26246,3310,4305
51141,17474,15600,4332,11184,1845,3498
40603,9655,7265,5324,14032,1203,3688
114039,25496,22925,14228,17206,1940,3528
111928,38273,28960,26070,20824,1960,4175
77953,20679,11765,10230,19116,5453,3843
105722,22382,12298,12744,13688,2855,3538
72462,23114,16616,5850,7876,2933,7540
60698,24002,17245,3676,10510,1300,4048
100216,33932,29620,16890,12676,2229,3526
50528,19222,16654,8564,12768,1255,2624
94508,32844,20924,9031,17989,4326,3581
108666,40672,23711,11040,31112,2815,3551
53148,17239,12670,9680,5801,2120,3140
67455,28728,20525,2444,14523,840,3802
75994,21284,17508,3650,12954,3989,6273
83938,28480,23032,20906,8896,1853,3024
56076,18613,15640,13520,6702,2685,2500
55360,16347,13011,10394,10730,2950,2911
68898,24016,19719,14224,10288,5050,2795
102352,27463,24769,8735,19980,5710,5300
92783,24456,20310,14456,16798,2840,6473
95990,26264,18040,12797,8439,3468,5505
98073,41712,20236,16628,9536,5750,5070
99017,12606,8590,8768,5746,2544,6045
94301,20369,16889,8836,21528,2595,6558
76189,33371,29192,6498,14422,1560,8360
51472,7612,7248,860,5774,1539,3018
12613,2760,1136,1116,868,540,1411
49718,15190,9852,6918,3514,1062,1648
73326,33160,27576,6815,9304,943,3029
86813,27189,15584,8928,20996,1746,6541
109630,34124,23675,7017,12210,1755,2095
194543,55533,30060,28496,32961,6405,15210
47329,16079,12738,4215,11564,947,3543
26847,7563,4553,5474,794,855,2076
92356,24757,13852,11010,16210,2310,4768
199416,27911,17376,29777,18720,17221,10897
76016,29138,22475,8247,11388,840,2833
92016,37477,30980,10963,8221,1050,4951
49969,18147,13022,7861,6000,1811,4430
52977,20317,15755,9100,7230,1132,2680
68840,26544,18383,13167,6984,380,3576
113025,32547,23644,9166,16144,1650,10668
97447,37957,23216,8283,5811,3367,6510
117543,35503,28046,5705,22099,10760,10710
94269,29310,23590,3018,30358,2270,3489
106166,28407,19386,7654,18300,6469,8708
48475,17187,14112,4054,10676,650,3163
82634,14090,10940,6354,19412,1305,5567
68044,20192,17551,8089,10428,3741,4820
39377,10562,9801,5984,7070,1435,4085
68782,17395,14079,11646,5656,1655,2670
25978,7723,3345,0,3120,660,0
79490,31770,27060,6920,11990,3235,7010
71462,15142,12158,18254,6610,875,4425
87476,33389,28479,6279,13014,3254,2645
53764,13353,9679,11404,4636,2445,3940
56497,14922,11150,7060,6104,1485,4530
102044,22671,12122,10767,12664,2960,5915
99496,45634,18842,19320,2330,830,2582
69755,27009,21744,2990,7215,2987,4650
134201,15219,6551,0,20100,10940,154
82525,12546,7444,15876,13476,11040,4253
104601,29122,19602,10580,29158,4164,8176
50238,21146,18000,3790,7578,345,2439
111624,25084,12630,11165,25452,5890,11766
60761,20364,11622,5800,16002,1800,3801
62723,19789,12399,3640,12845,3492,5980
64558,16431,11946,8805,11325,2415,1795
84712,24458,20342,6526,5527,2505,3540
192291,36013,26118,30127,16088,1800,4220
74433,34394,28098,4374,10756,530,3093
82961,29941,18879,16382,6206,1860,4220
51702,21972,17700,4195,7036,2540,2940
45270,20296,18060,4160,6440,780,1475
89718,32929,27230,4272,20454,1556,3240
40278,16941,15085,1578,7820,1015,2065
34680,11973,8915,4030,7728,1462,1465
53174,23260,20105,6100,10972,1074,2028
24869,7315,6065,2030,3220,1440,2735
73543,46074,44817,4388,6706,3494,2619
93333,44498,38972,5853,12807,1718,3000
79790,30152,28883,8744,18311,2280,3130
37201,16102,13065,1495,10318,530,885
30094,14427,14050,2200,5435,819,3290
57862,29036,28214,2380,10876,2773,3021
55392,20822,19233,5296,4527,2191,5054
76978,22758,19180,6640,14178,3775,5062
52683,19889,15908,5648,10452,1080,3210
74595,19584,15876,12712,7968,990,7060
36360,9364,8220,3360,5272,1680,3807
49354,12906,8290,4300,5336,840,2040
57864,16884,13106,7442,12642,2045,5375
65484,18529,13900,6682,9526,4200,2000
81293,24181,18055,6205,7311,3181,7335
54038,16655,12050,3259,15930,2170,3492
25143,8066,7010,4755,3525,425,580
91107,26351,24110,6780,15517,3880,2730
33354,12309,12057,1535,7725,1591,1945
70412,27980,21290,10796,12566,879,4135
97261,26933,13799,4880,20378,775,6610
66916,27285,18175,8288,4102,1630,2900
36076,11090,7240,6473,1244,1531,1140
117992,31466,24404,14102,13113,3156,7725
56307,15624,10840,3500,13963,3368,2995
43462,16566,14891,4130,11480,1345,2075
75941,26015,23606,8844,7352,1705,3195
64035,20750,17877,3548,4810,655,5834
94520,29144,25500,11613,11678,2490,6010
24370,9836,8776,2978,3460,310,1550
53893,16768,12900,3978,2654,740,17885
57917,19062,13354,6117,10918,1345,7365
63049,21820,16109,6658,7654,1165,2619
41141,14348,12454,4146,5932,1080,4095
57044,21823,18331,7242,5748,1540,3082
15748,6031,5519,708,1872,435,1925
64200,18578,13800,4314,8349,2440,4989
48016,22364,20397,4020,6520,1600,3105
67123,16887,7104,18160,7352,3320,8600
72348,25278,10484,5690,11682,1680,3750
110564,23647,12218,18893,7700,5276,7306
87623,22947,14183,16040,15592,3910,3903
120404,20458,15592,6666,31533,6074,4104
115972,20712,14363,11856,19392,4440,2242
115375,22377,13213,23524,14034,8150,5130
89408,12369,9050,14670,16734,12740,4386
154854,18997,15115,18640,32442,16330,13986
90198,15460,13695,16308,23634,8110,5220
73651,31353,25340,5864,16542,5024,4734
64640,16436,11797,6843,6333,4065,5400
128059,21408,17860,11780,7670,4640,5468
86162,36160,30944,10671,11436,4310,4835
29739,11522,9798,3070,3176,1475,2913
106992,52105,43440,8520,12500,5655,9000
55270,22759,20815,3530,6008,3700,5978
79887,38013,36019,4550,10198,5855,7108
26115,6652,5840,3660,3117,2290,3637
79210,35890,32037,4603,6427,3390,4020
42943,21791,19941,3240,2545,1540,1781
91075,46348,36119,4294,7304,2302,5236
26075,8828,6529,2755,3922,3179,3931
48181,14453,13213,3478,3611,2060,4595
59402,18684,13629,7560,7066,3762,6809
110115,36945,29040,9975,14189,3861,6182
55489,24757,21358,3954,5584,2021,2081
58307,24072,16840,8528,3983,1030,1916
46993,16258,12851,5116,5765,1521,2906
69631,32545,28718,3377,7507,1375,5048
61591,29759,25059,6281,2640,1045,2767
70325,35144,33005,2077,11521,2690,3085
53168,20178,16215,2558,10577,1210,2680
73766,24520,19374,10965,6075,2866,3007
91012,29228,23983,7423,7970,2015,5166
21929,6072,4656,300,780,1010,809
82866,37635,30770,3863,5931,882,2793
98693,37538,29430,6249,7180,2434,4195
50650,15055,11588,4890,2764,2883,3137
68031,28055,24050,4981,6380,2931,6197
62438,15843,13394,4840,12991,2100,4711
55832,26464,20634,5008,6156,1408,1886
53729,21312,18888,7830,2352,2993,3226
101799,50694,44840,5626,10053,2504,3225
125483,43764,34504,20392,19190,2820,5133
94438,51629,45174,8490,6120,2368,3291
66644,27608,25408,3730,5473,1220,2151
92759,42887,38941,9938,7095,3736,5491
49386,21464,17788,3642,5586,888,2657
126275,57280,52128,11280,9030,2179,5217
72052,26778,23630,14140,5898,3510,4452
108323,27137,22263,12564,5488,3490,3091
64939,19398,14320,11523,3289,2165,3648
67733,31992,28245,5815,8193,2510,4389
72373,31819,23168,7969,9380,3258,5928
73335,32465,27558,9130,8136,1870,3106
56144,14283,10679,8805,2978,3217,6563
61890,19370,15476,8846,12254,2335,3904
133100,15692,6335,8740,7552,9460,4935
84189,23420,15340,15541,3706,3085,3360
37231,9274,8277,5000,5908,925,1963
59824,19529,16471,12898,8498,785,2480
218768,54870,48336,17195,10235,4952,6740
56141,18251,10885,9580,7573,855,4035
60135,26156,19548,5440,9767,1045,2985
94639,37040,30396,17962,9135,2849,6516
51571,19892,14168,10217,5086,2710,2796
45599,10267,8963,2105,7236,5606,7607
83853,25568,20272,14886,10892,2194,8986
149671,85049,74662,10393,15506,2620,7552
50523,23802,20356,2998,10046,1242,3627
70231,16431,12341,11284,8448,2655,6188
138536,38095,26917,33298,18260,4555,6037
76340,24675,18643,11490,9806,643,3062
130558,40457,29413,18403,13754,5743,8958
73219,31405,20897,9790,9560,1475,4860
56401,25418,17220,1975,15767,2657,3824
44166,20406,18532,1620,8452,547,3856
88248,21422,16326,5570,8388,20537,4463
77187,36839,31762,6236,7686,1320,4225
46162,26714,24254,1044,2536,2957,3654
51524,27295,25581,2964,6353,1760,4429
93235,43125,38115,1880,10825,1992,7794
85334,52080,49051,1665,7276,3140,7431
117452,42348,27230,17133,15946,2477,4865
40907,13134,7602,4940,3653,775,2837
83164,31199,28146,12012,14116,3240,7105
48894,17807,13530,1180,7143,2415,4437
56104,24547,20141,2844,6710,2516,3738
21297,7281,5883,1190,2876,1005,4422
52291,22157,19649,4580,9066,2455,4619
65037,18641,13535,3346,5321,1905,2982
50755,20202,14584,7885,4874,1964,2819
67418,17946,14323,7810,5360,2327,3825
36267,9111,6607,4619,8582,3590,3270
37258,14745,13213,3120,6146,2392,2760
77733,23129,20272,8373,8869,3550,6613
38421,5927,2541,7770,6174,2458,3590
63566,20944,13575,8307,13186,3411,5070
44017,12284,10136,5933,6955,3190,3438
76404,31637,27200,10110,9388,3825,5856
75761,46476,42696,5677,5874,4540,4421
31675,9456,5210,5984,6390,2288,2068
126967,63591,51829,8501,15279,5910,9212
125314,35474,25290,15662,12096,2974,8588
73005,31045,28880,1464,5538,4220,4084
67431,39895,35759,4298,4645,2387,3925
56670,33878,28178,3170,3928,1910,3587
120483,49854,43403,10600,9467,2455,4632
53590,11777,6740,9104,7119,7630,3165
38530,9399,6240,5020,3733,1398,2680
81972,39237,36305,3818,14684,3120,6630
65332,14937,10154,9501,5102,2890,5867
102690,24019,12153,17528,9607,4713,8664
99520,41339,32553,12502,14802,2076,6410
102485,52283,35640,7461,14643,2464,4836
74201,39715,30769,3944,4776,2205,2988
64721,23089,11212,9181,4039,1503,3380
99850,63003,52852,4295,8489,3060,4153
59164,20877,16215,8366,4979,1914,3397
78068,33147,28367,4037,10339,4993,3375
37220,15901,11608,5532,3802,1545,1993
95893,47673,41310,6748,16294,2445,4800
27781,8918,5720,454,2079,640,368
99162,41823,39820,2922,17917,2722,6800
69648,27170,20501,4243,8855,1575,3763
73416,38943,33304,3313,6571,3212,4080
69250,28378,25673,5364,13873,2409,3918
65516,34794,25090,1472,8390,1248,3719
65537,13642,7904,6719,8758,2984,2818
62343,28256,24274,5810,8057,2989,3136
57361,22821,18513,5473,6888,2470,3199
114089,59213,50190,8104,17565,2139,3421
89233,31461,25309,15908,3439,2904,5314
69070,19417,12584,16603,8432,5349,4993
69865,12723,7762,13262,10953,4740,8025
32994,9551,7421,6339,2764,1520,4702
83869,19960,11152,17349,19701,2845,5176
63247,34872,24130,2354,4961,1567,2743
60793,19652,16479,6432,3429,1050,4001
55408,14740,11554,6864,7195,3080,5606
57162,22559,16062,8072,6926,1451,5321
54846,19634,12327,2199,6364,2485,5834
98771,23907,14112,20096,11025,3055,9037
46321,16241,13969,2364,2784,1020,2014
50811,19868,18228,3010,3928,1413,4458
78664,18598,15080,9937,5490,7009,7864
47290,14877,9595,5314,2437,1269,3264
32416,16528,12388,1067,1376,1513,2561
61994,24230,20996,7721,4875,1960,2083
54125,14285,12225,8691,5639,1835,1624
71797,28417,19095,14515,8667,2195,4383
115389,36764,26460,18008,4478,1422,6388
58278,23068,17204,10541,7041,1879,4212
190248,78092,64572,11765,18505,5230,13825
74265,29632,23774,6818,12217,1460,5514
73674,38335,30589,2453,5073,2046,3055
50650,24519,18893,6916,2852,1260,2372
64272,32608,28286,6442,4649,2230,2031
48857,14804,12142,4429,9141,1706,3441
44440,24611,19612,4469,2539,383,2361
68835,34190,20696,3482,6846,3560,5570
128209,39984,24470,35340,12415,5198,8194
134523,37868,26654,31336,13554,5820,4976
61597,19596,15560,7180,10609,1976,5472
74850,26791,17508,6066,8880,3865,5268
36290,14470,9980,4063,1846,1260,3225
28913,12927,10878,1380,2021,501,1551
92645,20584,11275,11927,12164,5505,7725
71559,26183,16660,8283,10318,3506,6546
156385,55062,36481,22634,13330,8304,5032
84695,23707,17862,14129,12909,2157,5201
95784,20255,10790,14533,14552,7586,8774
104250,30054,16560,9872,6886,2573,4528
108816,44095,27030,13621,10231,3726,6654
105906,41376,27072,24268,5451,3351,6350
80836,38513,30870,8894,10564,2153,7180
29083,12089,9570,2810,6112,1211,1686
84633,39795,33394,5900,17231,1635,4526
94689,42942,35194,15678,13328,2704,5405
81561,25528,23910,10330,17883,3240,7230
66069,19753,17720,9014,14930,3940,5420
90480,31796,27140,7900,26535,2160,6930
77308,35258,31606,5669,15563,2400,7515
58787,26446,22794,3000,12204,1400,3495
92975,30916,26350,10670,14856,1752,4485
54753,31645,28482,2780,8796,1232,3390
68608,27612,19877,8885,9756,2300,4012
